Team,contestantId,playerId,Short Name,Player Name,Age,Position_x,Nationality,Position_y,total accurate back zone pass_Total,total accurate cross_Total,total accurate fwd zone pass_Total,total accurate long balls_Total,total accurate pass_Total,total aerial won_Total,total assists_Total,total att assist_Total,total attempt_Total,total attempts ibox_Total,total contest_Total,total dribbles attempted_Total,total duels won_Total,total effective clearance_Total,total interception_Total,total mins played,total touches in opposition box_Total,total was fouled_Total,total won contest_Total,total won tackle_Total,total attempts obox_Total,total ontarget attempt_Total,total blocked scoring att_Total,total goals_Total,total big chances saved_Total,total direct corner goals_Total,total direct setpiece goals_Total,pass_success_pct_Total,long_balls_success_pct_Total,cross_success_pct_Total,dribble_success_pct_Total,attempt_success_pct_Total,duel_success_pct_Total,aerial_success_pct_Total,tackle_success_pct_Total,xG_Total,xA_Total,CreatedOwnShot_Total,Total Carries_Total,Total Carry xT_Total,Total Final Third Carries_Total,passes_into_final_third_Total,progressive_passes_Total,xT_pass_Total,forward_passes_Total,total accurate back zone pass_p90,total accurate cross_p90,total accurate fwd zone pass_p90,total accurate long balls_p90,total accurate pass_p90,total aerial won_p90,total assists_p90,total att assist_p90,total attempt_p90,total attempts ibox_p90,total contest_p90,total dribbles attempted_p90,total duels won_p90,total effective clearance_p90,total interception_p90,total touches in opposition box_p90,total was fouled_p90,total won contest_p90,total won tackle_p90,total attempts obox_p90,total ontarget attempt_p90,total blocked scoring att_p90,total goals_p90,total big chances saved_p90,total direct corner goals_p90,total direct setpiece goals_p90,pass_success_pct_p90,long_balls_success_pct_p90,cross_success_pct_p90,dribble_success_pct_p90,attempt_success_pct_p90,duel_success_pct_p90,aerial_success_pct_p90,tackle_success_pct_p90,xG_p90,xA_p90,CreatedOwnShot_p90,Total Carries_p90,Total Carry xT_p90,Total Final Third Carries_p90,passes_into_final_third_p90,progressive_passes_p90,xT_pass_p90,forward_passes_p90,Pos.,total accurate back zone pass_TotalPR,total accurate cross_TotalPR,total accurate fwd zone pass_TotalPR,total accurate long balls_TotalPR,total accurate pass_TotalPR,total aerial won_TotalPR,total assists_TotalPR,total att assist_TotalPR,total attempt_TotalPR,total attempts ibox_TotalPR,total contest_TotalPR,total dribbles attempted_TotalPR,total duels won_TotalPR,total effective clearance_TotalPR,total interception_TotalPR,total touches in opposition box_TotalPR,total was fouled_TotalPR,total won contest_TotalPR,total won tackle_TotalPR,total attempts obox_TotalPR,total ontarget attempt_TotalPR,total blocked scoring att_TotalPR,total goals_TotalPR,total big chances saved_TotalPR,total direct corner goals_TotalPR,total direct setpiece goals_TotalPR,pass_success_pct_TotalPR,long_balls_success_pct_TotalPR,cross_success_pct_TotalPR,dribble_success_pct_TotalPR,attempt_success_pct_TotalPR,duel_success_pct_TotalPR,aerial_success_pct_TotalPR,tackle_success_pct_TotalPR,xG_TotalPR,xA_TotalPR,CreatedOwnShot_TotalPR,Total Carries_TotalPR,Total Carry xT_TotalPR,Total Final Third Carries_TotalPR,passes_into_final_third_TotalPR,progressive_passes_TotalPR,xT_pass_TotalPR,forward_passes_TotalPR,total accurate back zone pass_p90PR,total accurate cross_p90PR,total accurate fwd zone pass_p90PR,total accurate long balls_p90PR,total accurate pass_p90PR,total aerial won_p90PR,total assists_p90PR,total att assist_p90PR,total attempt_p90PR,total attempts ibox_p90PR,total contest_p90PR,total dribbles attempted_p90PR,total duels won_p90PR,total effective clearance_p90PR,total interception_p90PR,total touches in opposition box_p90PR,total was fouled_p90PR,total won contest_p90PR,total won tackle_p90PR,total attempts obox_p90PR,total ontarget attempt_p90PR,total blocked scoring att_p90PR,total goals_p90PR,total big chances saved_p90PR,total direct corner goals_p90PR,total direct setpiece goals_p90PR,pass_success_pct_p90PR,long_balls_success_pct_p90PR,cross_success_pct_p90PR,dribble_success_pct_p90PR,attempt_success_pct_p90PR,duel_success_pct_p90PR,aerial_success_pct_p90PR,tackle_success_pct_p90PR,xG_p90PR,xA_p90PR,CreatedOwnShot_p90PR,Total Carries_p90PR,Total Carry xT_p90PR,Total Final Third Carries_p90PR,passes_into_final_third_p90PR,progressive_passes_p90PR,xT_pass_p90PR,forward_passes_p90PR,League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,1ay3ef800f635ki7nks9w9re,A. Stojchevski,Andrej Stojchevski,23,Defender,North Macedonia,Defender,201.0,1.0,138.0,17.0,338.0,11.0,0.0,4.0,4.0,2.0,2.0,2.0,24.0,36.0,7.0,720.0,8.0,6.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,87.79,56.67,33.33,50.0,50.0,57.14,55.0,57.14,0.3305761070835225,0.2877795341917305,2.0,5.0,0.13599441,6.0,35.0,33.0,0.9201590799999996,190.0,25.125,0.125,17.25,2.125,42.25,1.375,0.0,0.5,0.5,0.25,0.25,0.25,3.0,4.5,0.875,1.0,0.75,0.125,0.5,0.25,0.25,0.0,0.0,0.0,0.0,0.0,87.79,56.67,33.33,50.0,50.0,57.14,55.0,57.14,0.0413220133854403,0.0359724417739663,0.25,0.625,0.01699930125,0.75,4.375,4.125,0.1150198849999999,23.75,CB,73,68,92,59,81,57,41,78,65,49,50,50,48,74,60,70,62,51,44,90,80,31,36,46,51,51,60,75,80,56,84,46,46,50,54,71,92,70,79,93,93,89,90,75,54,58,79,31,60,31,41,59,47,33,38,38,17,36,44,50,31,42,34,79,64,31,36,46,51,51,60,75,80,56,84,46,46,50,44,58,79,60,69,85,82,74,75,56,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,1oqsye3np44f24kfne286k6ol,M. Trávník,Michal Trávník,32,Midfielder,Czechia,Midfielder,176.0,12.0,180.0,17.0,344.0,1.0,1.0,12.0,15.0,3.0,8.0,9.0,51.0,8.0,3.0,710.0,11.0,28.0,5.0,13.0,12.0,2.0,6.0,0.0,0.0,0.0,0.0,86.22,53.12,24.49,62.5,13.33,61.45,33.33,76.47,0.8974622874938731,1.1710478448154318,12.0,16.0,0.4023073100000001,5.0,33.0,45.0,1.4572926600000002,183.0,22.309859154929576,1.5211267605633805,22.816901408450704,2.1549295774647885,43.6056338028169,0.1267605633802817,0.1267605633802817,1.5211267605633805,1.9014084507042253,0.380281690140845,1.0140845070422535,1.1408450704225352,6.464788732394366,1.0140845070422535,0.380281690140845,1.3943661971830985,3.549295774647887,0.6338028169014084,1.647887323943662,1.5211267605633805,0.2535211267605634,0.7605633802816901,0.0,0.0,0.0,0.0,86.22,53.12,24.49,62.5,13.33,61.45,33.33,76.47,0.1137628251752796,0.1484426845540688,1.5211267605633805,2.028169014084507,0.0509967012676056,0.6338028169014084,4.183098591549296,5.704225352112676,0.1847272385915493,23.197183098591548,CM/AM,100,99,98,96,100,23,69,84,96,41,51,57,100,86,65,54,100,69,100,100,49,95,24,50,50,49,96,60,52,77,25,94,50,77,67,85,100,92,92,71,98,99,96,100,100,85,83,85,98,19,50,58,65,21,25,27,92,71,33,27,98,38,92,94,31,82,24,50,50,49,96,60,52,77,25,94,50,77,42,62,92,67,67,48,88,90,85,98,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,3x89gzv0j50gqd044j62yxous,Š. Slončík,Simon Sloncík,19,Defender,Czechia,Defender,213.0,0.0,123.0,30.0,336.0,24.0,0.0,2.0,1.0,1.0,5.0,5.0,53.0,38.0,5.0,630.0,3.0,13.0,2.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,84.42,55.56,0.0,40.0,0.0,69.74,66.67,64.29,0.1226487938066299,0.2545544771895871,0.0,9.0,0.1687766299999999,3.0,29.0,36.0,0.82329393,207.0,30.428571428571427,0.0,17.571428571428573,4.285714285714286,48.0,3.4285714285714284,0.0,0.2857142857142857,0.1428571428571428,0.1428571428571428,0.7142857142857143,0.7142857142857143,7.571428571428571,5.428571428571429,0.7142857142857143,0.4285714285714285,1.8571428571428568,0.2857142857142857,1.2857142857142858,0.0,0.0,0.0,0.0,0.1428571428571428,0.0,0.0,84.42,55.56,0.0,40.0,0.0,69.74,66.67,64.29,0.0175212562580899,0.0363649253127981,0.0,1.2857142857142858,0.0241109471428571,0.4285714285714285,4.142857142857143,5.142857142857143,0.1176134185714285,29.571428571428573,RB/RCB,100,19,100,100,100,96,46,35,27,38,69,69,100,100,50,50,96,54,77,27,31,35,46,100,54,54,92,92,19,54,31,100,100,38,31,46,31,85,69,69,100,100,69,100,100,19,85,85,92,85,46,31,31,31,62,62,100,92,23,15,92,38,38,27,31,35,46,100,54,54,92,92,19,54,31,100,100,38,31,38,31,81,54,62,92,85,38,100,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,3zm27zj8masdyfu4n3tz0w0es,J. Behiratche,Jocelin Behiratche,26,Defender,Côte d'Ivoire,Defender,241.0,0.0,54.0,8.0,295.0,10.0,0.0,4.0,3.0,3.0,1.0,1.0,29.0,35.0,7.0,561.0,11.0,9.0,1.0,6.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,93.06,50.0,0.0,100.0,33.33,58.0,83.33,60.0,0.3585950132520516,0.3575772973995176,0.0,1.0,0.10805102,0.0,7.0,5.0,0.3002268999999999,161.0,38.66310160427808,0.0,8.663101604278074,1.2834224598930482,47.32620320855615,1.60427807486631,0.0,0.6417112299465241,0.481283422459893,0.481283422459893,0.160427807486631,0.160427807486631,4.652406417112299,5.614973262032086,1.1229946524064172,1.7647058823529411,1.4438502673796791,0.160427807486631,0.962566844919786,0.0,0.160427807486631,0.0,0.0,0.160427807486631,0.0,0.0,93.06,50.0,0.0,100.0,33.33,58.0,83.33,60.0,0.057528611751666,0.0573653418287996,0.0,0.160427807486631,0.0173343882352941,0.0,1.1229946524064172,0.8021390374331551,0.048164743315508,25.8288770053476,CB,81,27,40,27,73,53,41,78,51,65,33,33,52,70,60,79,80,51,66,25,53,31,36,96,51,51,100,57,27,91,67,50,98,55,56,85,29,28,67,16,20,5,35,62,88,27,15,19,73,38,41,67,44,56,31,31,44,60,58,79,77,54,56,25,48,31,36,96,51,51,100,57,27,91,67,50,98,55,50,83,29,23,71,16,8,4,12,65,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,50i05npy0v93nfhir5xh0ooic,G. Niarchos,Giannis Niarchos,24,Attacker,Greece,Striker,20.0,0.0,14.0,0.0,34.0,9.0,0.0,1.0,4.0,2.0,2.0,3.0,20.0,2.0,3.0,237.0,2.0,8.0,1.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,72.34,0.0,0.0,50.0,0.0,48.78,47.37,50.0,0.2905130769853341,0.0439068291727973,3.0,0.0,0.0,0.0,1.0,1.0,0.01449547,9.0,7.59493670886076,0.0,5.316455696202532,0.0,12.91139240506329,3.4177215189873418,0.0,0.379746835443038,1.518987341772152,0.759493670886076,0.759493670886076,1.139240506329114,7.59493670886076,0.759493670886076,1.139240506329114,0.759493670886076,3.037974683544304,0.379746835443038,0.379746835443038,0.759493670886076,0.0,0.759493670886076,0.0,0.0,0.0,0.0,72.34,0.0,0.0,50.0,0.0,48.78,47.37,50.0,0.1103214216400002,0.0166734794327078,1.139240506329114,0.0,0.0,0.0,0.379746835443038,0.379746835443038,0.0055046088607594,3.4177215189873418,ST,66,26,6,15,22,71,34,12,10,6,10,12,55,22,93,2,78,18,28,57,5,51,15,51,51,49,56,15,26,76,5,85,66,46,2,10,67,7,7,13,16,12,2,12,90,26,12,15,51,83,34,17,15,10,15,27,98,41,95,2,98,29,39,80,5,68,15,51,51,49,56,15,26,76,5,85,66,46,2,12,88,7,7,13,24,15,5,27,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,6ft0p23uh329gr0xc2cdni1ud,Gigli Ndefe,Gigli Nsungani Ndefe,32,Defender,Angola,Defender,83.0,3.0,101.0,2.0,181.0,2.0,0.0,3.0,6.0,5.0,4.0,4.0,31.0,26.0,7.0,677.0,11.0,15.0,1.0,5.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,83.03,16.67,21.43,25.0,16.67,56.36,25.0,38.46,0.7938558440583086,0.1057102079093589,1.0,8.0,0.18036245,0.0,11.0,14.0,0.49193443,94.0,11.03397341211226,0.3988183161004431,13.42688330871492,0.2658788774002954,24.06203840472673,0.2658788774002954,0.0,0.3988183161004431,0.7976366322008863,0.6646971935007385,0.5317577548005908,0.5317577548005908,4.121122599704579,3.4564254062038406,0.930576070901034,1.4623338257016247,1.994091580502216,0.1329394387001477,0.6646971935007385,0.1329394387001477,0.1329394387001477,0.2658788774002954,0.1329394387001477,0.0,0.0,0.0,83.03,16.67,21.43,25.0,16.67,56.36,25.0,38.46,0.1055347503179435,0.014053055704346,0.1329394387001477,1.0635155096011817,0.0239772828655834,0.0,1.4623338257016247,1.861152141802068,0.0653974870014771,12.496307237813886,CB,31,93,79,5,48,7,41,58,79,79,75,73,59,40,60,79,100,51,56,67,53,88,84,46,51,51,40,2,65,41,46,41,3,12,81,35,72,92,88,16,40,43,50,42,10,85,52,4,15,4,41,50,69,67,65,62,40,25,48,73,92,48,48,58,42,88,75,46,51,51,40,2,65,41,46,41,3,12,71,23,67,79,77,16,17,21,35,17,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,846noswumd4tahm2f7p9g6iac,P. Juroška,Pavel Juroska,25,Midfielder,Czechia,Midfielder,16.0,2.0,26.0,2.0,40.0,0.0,0.0,5.0,5.0,3.0,6.0,8.0,15.0,2.0,1.0,301.0,7.0,7.0,3.0,4.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,70.18,66.67,40.0,50.0,40.0,53.57,0.0,80.0,0.5483438830374969,0.3164492018776447,3.0,4.0,0.12890485,1.0,2.0,2.0,0.17454906,17.0,4.78405315614618,0.5980066445182725,7.774086378737541,0.5980066445182725,11.960132890365449,0.0,0.0,1.495016611295681,1.495016611295681,0.8970099667774086,1.7940199335548173,2.39202657807309,4.485049833887043,0.5980066445182725,0.2990033222591362,2.093023255813953,2.093023255813953,0.8970099667774086,1.196013289036545,0.5980066445182725,0.5980066445182725,0.0,0.2990033222591362,0.0,0.0,0.0,70.18,66.67,40.0,50.0,40.0,53.57,0.0,80.0,0.1639566427686868,0.0946193626876678,0.8970099667774086,1.196013289036545,0.0385429784053156,0.2990033222591362,0.5980066445182725,0.5980066445182725,0.0521907488372093,5.083056478405315,CM/AM,11,40,5,16,6,9,25,40,27,41,32,45,31,28,23,29,50,43,59,32,49,10,64,50,50,49,12,92,91,51,70,75,10,82,38,31,55,21,25,12,6,4,15,8,12,48,6,25,6,9,25,56,46,60,48,67,50,40,29,48,73,62,73,40,62,10,75,50,50,49,12,92,91,51,70,75,10,82,62,40,81,29,40,15,6,4,15,8,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,8zvsos5fsrrf9aizqmyhtt9m,M. Šviderský,Martin Svidersky,23,Midfielder,Slovakia,Midfielder,57.0,2.0,82.0,5.0,137.0,6.0,0.0,5.0,6.0,2.0,5.0,6.0,26.0,13.0,3.0,405.0,11.0,6.0,2.0,8.0,4.0,1.0,2.0,0.0,1.0,0.0,0.0,79.65,27.78,22.22,40.0,16.67,61.9,54.55,66.67,0.3864861300531166,0.2283144635313949,4.0,5.0,0.14204024,2.0,12.0,11.0,0.3102483599999999,66.0,12.666666666666666,0.4444444444444444,18.22222222222222,1.1111111111111112,30.444444444444443,1.3333333333333333,0.0,1.1111111111111112,1.3333333333333333,0.4444444444444444,1.1111111111111112,1.3333333333333333,5.777777777777778,2.888888888888889,0.6666666666666666,2.4444444444444446,1.3333333333333333,0.4444444444444444,1.7777777777777777,0.8888888888888888,0.2222222222222222,0.4444444444444444,0.0,0.2222222222222222,0.0,0.0,79.65,27.78,22.22,40.0,16.67,61.9,54.55,66.67,0.0858858066784703,0.050736547451421,0.8888888888888888,1.1111111111111112,0.0315644977777777,0.4444444444444444,2.6666666666666665,2.4444444444444446,0.0689440799999999,14.666666666666666,DM/CM,33,68,48,20,42,76,36,52,59,53,61,70,58,85,35,83,53,35,73,62,45,53,39,98,52,52,39,9,76,33,39,82,71,58,45,36,73,41,45,36,39,32,33,36,36,76,55,9,52,85,36,67,64,61,73,73,85,97,24,88,64,45,85,70,48,70,39,100,52,52,39,9,76,33,39,82,71,58,55,39,76,42,48,33,52,27,27,52,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,9hwxz4jig9tzvusschssz9r6d,T. Kostadinov,Tihomir Kostadinov,30,Midfielder,North Macedonia,Midfielder,104.0,1.0,109.0,6.0,212.0,2.0,0.0,6.0,6.0,3.0,6.0,6.0,26.0,9.0,4.0,513.0,7.0,14.0,4.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,85.14,35.29,33.33,66.67,16.67,48.15,25.0,66.67,0.5615359339245758,0.514694299905441,3.0,7.0,0.20250283,2.0,16.0,15.0,0.59862985,93.0,18.24561403508772,0.175438596491228,19.12280701754386,1.0526315789473684,37.19298245614035,0.3508771929824561,0.0,1.0526315789473684,1.0526315789473684,0.5263157894736842,1.0526315789473684,1.0526315789473684,4.56140350877193,1.5789473684210529,0.7017543859649122,1.2280701754385963,2.456140350877193,0.7017543859649122,0.7017543859649122,0.5263157894736842,0.175438596491228,0.5263157894736842,0.0,0.0,0.0,0.0,85.14,35.29,33.33,66.67,16.67,48.15,25.0,66.67,0.0985150761271185,0.0902972455974457,0.5263157894736842,1.2280701754385963,0.0355268122807017,0.3508771929824561,2.807017543859649,2.631578947368421,0.1050227807017543,16.31578947368421,CM/AM,94,25,77,62,90,36,25,49,34,41,32,29,71,91,78,29,90,56,59,46,28,66,24,50,50,49,90,27,79,84,31,56,38,51,42,50,55,44,48,32,79,60,67,90,94,21,69,48,90,29,25,38,27,33,27,25,52,88,67,21,83,46,46,35,25,58,24,50,50,49,90,27,79,84,31,56,38,51,33,35,52,31,29,21,67,48,46,83,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,aprzekzw2al3nf4dglv6eicb9,M. Havlík,Marek Havlík,31,Midfielder,Czechia,Midfielder,51.0,5.0,125.0,18.0,171.0,3.0,1.0,10.0,7.0,2.0,1.0,1.0,10.0,6.0,1.0,574.0,12.0,4.0,0.0,4.0,5.0,2.0,2.0,0.0,0.0,0.0,0.0,76.68,60.0,33.33,0.0,28.57,29.41,42.86,100.0,0.448949653368159,1.071619036688178,3.0,9.0,0.24306064,2.0,19.0,20.0,0.93731991,71.0,7.996515679442508,0.7839721254355401,19.5993031358885,2.822299651567944,26.811846689895468,0.470383275261324,0.156794425087108,1.56794425087108,1.097560975609756,0.313588850174216,0.156794425087108,0.156794425087108,1.56794425087108,0.940766550522648,0.156794425087108,1.881533101045296,0.627177700348432,0.0,0.627177700348432,0.7839721254355401,0.313588850174216,0.313588850174216,0.0,0.0,0.0,0.0,76.68,60.0,33.33,0.0,28.57,29.41,42.86,100.0,0.0703928027929169,0.1680238907699233,0.470383275261324,1.411149825783972,0.0381105533101045,0.313588850174216,2.979094076655052,3.1358885017421603,0.1469665364111498,11.132404181184668,CM/AM,61,72,85,98,77,54,69,74,43,27,5,3,12,80,23,60,28,4,59,75,49,43,24,50,50,49,31,80,79,4,53,8,60,94,35,77,55,58,60,32,89,79,77,71,35,58,71,94,52,42,60,62,31,12,4,4,4,60,19,38,12,4,38,60,38,31,24,50,50,49,31,80,79,4,53,8,60,94,25,71,42,40,35,17,77,60,69,50,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,bnlal8kbqu3a6vbh1zfb1zoyc,F. Horský,Filip Horsky,23,Attacker,Czechia,Striker,22.0,0.0,33.0,2.0,55.0,4.0,0.0,2.0,7.0,5.0,7.0,7.0,20.0,2.0,1.0,311.0,16.0,8.0,3.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,72.37,50.0,0.0,42.86,28.57,43.48,44.44,40.0,0.8639011346989638,0.1934885981356601,2.0,3.0,0.06640645,0.0,2.0,4.0,0.14234362,15.0,6.366559485530546,0.0,9.54983922829582,0.5787781350482315,15.916398713826366,1.157556270096463,0.0,0.5787781350482315,2.02572347266881,1.4469453376205788,2.02572347266881,2.02572347266881,5.787781350482315,0.5787781350482315,0.2893890675241157,4.630225080385852,2.315112540192926,0.8681672025723473,0.5787781350482315,0.5787781350482315,0.5787781350482315,0.0,0.0,0.0,0.0,0.0,72.37,50.0,0.0,42.86,28.57,43.48,44.44,40.0,0.2500035438035586,0.055993484991027,0.5787781350482315,0.8681672025723473,0.0192173006430868,0.0,0.5787781350482315,1.157556270096463,0.041192687459807,4.340836012861736,ST,72,26,44,57,60,37,34,29,30,30,41,34,55,22,54,35,78,54,49,57,34,13,15,51,51,49,59,62,26,61,37,68,56,34,39,32,48,49,37,13,37,54,34,46,83,26,61,68,71,44,34,37,41,39,49,49,63,32,61,54,88,61,59,66,41,13,15,51,51,49,59,62,26,61,37,68,56,34,54,44,56,51,37,13,41,56,39,54,Czech League
Slovácko,bp5x8iw8pstucx6s4iqht6xqf,d2ua4dqxer9zjh1ulsulmbz6x,P. Blahút,Patrik Blahút,28,Midfielder,Slovakia,Midfielder,33.0,2.0,58.0,5.0,89.0,0.0,0.0,4.0,4.0,2.0,8.0,8.0,6.0,4.0,2.0,376.0,6.0,3.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,85.58,71.43,22.22,25.0,25.0,25.0,0.0,100.0,0.2688752589828375,0.2835482143632443,2.0,6.0,0.1923396,2.0,4.0,7.0,0.2645548499999999,39.0,7.898936170212766,0.4787234042553191,13.882978723404255,1.1968085106382975,21.3031914893617,0.0,0.0,0.9574468085106382,0.9574468085106382,0.4787234042553191,1.9148936170212765,1.9148936170212765,1.4361702127659577,0.9574468085106382,0.4787234042553191,1.4361702127659577,0.7180851063829787,0.4787234042553191,0.2393617021276595,0.4787234042553191,0.2393617021276595,0.4787234042553191,0.0,0.0,0.0,0.0,85.58,71.43,22.22,25.0,25.0,25.0,0.0,100.0,0.0643584396501472,0.0678705832252446,0.4787234042553191,1.4361702127659577,0.0460387340425531,0.4787234042553191,0.9574468085106382,1.675531914893617,0.0633242992021276,9.335106382978722,CM/AM,42,40,31,52,38,9,25,33,22,27,51,45,5,62,44,22,22,30,9,32,28,43,24,50,50,49,94,96,46,16,45,4,10,94,23,25,43,38,42,32,10,22,21,32,33,42,40,56,35,9,25,29,19,29,54,52,2,62,42,29,19,31,6,29,29,50,24,50,50,49,94,96,46,16,45,4,10,94,17,23,44,42,56,35,12,15,23,38,Czech League
Sparta Praha,5ocdn3a6s75u0d0dy0rbou0xc,2we6yk2a54d89zp0kx0bs6u50,A. Ševínský,Adam Sevínsky,22,Defender,Czechia,Defender,167.0,0.0,74.0,14.0,241.0,6.0,0.0,0.0,2.0,2.0,1.0,1.0,9.0,14.0,2.0,277.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,91.98,63.64,0.0,100.0,100.0,50.0,54.55,0.0,0.3237722652758838,0.0,0.0,8.0,0.15759847,3.0,19.0,20.0,0.51222989,172.0,54.25992779783393,0.0,24.043321299638983,4.548736462093863,78.30324909747291,1.9494584837545128,0.0,0.0,0.6498194945848376,0.6498194945848376,0.3249097472924188,0.3249097472924188,2.9241877256317688,4.548736462093863,0.6498194945848376,0.6498194945848376,0.3249097472924188,0.3249097472924188,0.0,0.0,0.6498194945848376,0.0,0.0,0.0,0.0,0.0,91.98,63.64,0.0,100.0,100.0,50.0,54.55,0.0,0.1051967648910813,0.0,0.0,2.5992779783393503,0.0512052790613718,0.9747292418772564,6.1732851985559565,6.498194945848375,0.1664284841155234,55.88447653429603,CB,60,27,53,50,58,26,41,7,38,49,33,33,9,28,14,19,7,51,4,25,80,31,36,46,51,51,88,88,27,91,97,24,43,4,50,7,29,92,83,83,61,59,56,67,100,27,94,94,100,52,41,7,54,65,46,46,12,40,21,38,15,69,4,25,100,31,36,46,51,51,88,88,27,91,97,24,43,4,69,7,29,98,98,90,96,94,96,100,Czech League
Sparta Praha,5ocdn3a6s75u0d0dy0rbou0xc,3uwnuj4kbsjiy88i1jrkzwqqy,J. Mercado,John Mercado,24,Attacker,Ecuador,Striker,52.0,2.0,99.0,7.0,149.0,7.0,1.0,6.0,18.0,13.0,40.0,43.0,49.0,11.0,5.0,613.0,40.0,5.0,27.0,7.0,5.0,9.0,6.0,3.0,0.0,0.0,0.0,78.42,50.0,6.9,67.5,50.0,54.44,46.67,70.0,1.6640736045148925,0.7607303089492147,9.0,24.0,0.6536869199999998,12.0,10.0,12.0,0.91889295,49.0,7.6345840130505715,0.2936378466557912,14.535073409461663,1.0277324632952691,21.876019575856443,1.0277324632952691,0.1468189233278956,0.8809135399673736,2.6427406199021206,1.9086460032626429,5.872756933115824,6.313213703099511,7.194127243066885,1.6150081566068517,0.734094616639478,5.872756933115824,0.734094616639478,3.964110929853181,1.0277324632952691,0.734094616639478,1.3213703099510603,0.8809135399673736,0.4404567699836868,0.0,0.0,0.0,78.42,50.0,6.9,67.5,50.0,54.44,46.67,70.0,0.2443174949532468,0.111689604902821,1.3213703099510603,3.5236541598694946,0.0959736097879282,1.7618270799347473,1.468189233278956,1.7618270799347473,0.1349108735725938,7.194127243066885,ST,98,78,98,98,100,62,80,70,93,83,100,100,100,98,99,100,44,100,99,93,96,95,84,51,51,49,80,62,51,95,82,98,60,76,78,93,100,98,98,100,94,90,93,98,93,66,90,90,93,39,68,51,68,59,100,100,95,90,93,88,20,100,85,78,90,78,71,51,51,49,80,62,51,95,82,98,60,76,51,73,93,93,90,98,83,78,88,90,Czech League
Sparta Praha,5ocdn3a6s75u0d0dy0rbou0xc,447xbdl414dk1mbi68hr37ris,H. Sochůrek,Hugo Sochurek,18,Midfielder,Czechia,Midfielder,41.0,0.0,76.0,5.0,117.0,2.0,0.0,4.0,1.0,1.0,10.0,10.0,20.0,2.0,2.0,313.0,4.0,9.0,4.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,90.7,100.0,0.0,40.0,100.0,50.0,28.57,80.0,0.0828988798664031,0.3005417966919137,1.0,14.0,0.3797362599999999,9.0,6.0,9.0,0.4209310499999999,42.0,11.789137380191692,0.0,21.85303514376997,1.437699680511182,33.64217252396166,0.5750798722044729,0.0,1.1501597444089458,0.2875399361022364,0.2875399361022364,2.8753993610223643,2.8753993610223643,5.7507987220447285,0.5750798722044729,0.5750798722044729,1.1501597444089458,2.587859424920128,1.1501597444089458,1.1501597444089458,0.0,0.2875399361022364,0.0,0.0,0.0,0.0,0.0,90.7,100.0,0.0,40.0,100.0,50.0,28.57,80.0,0.0238367386197325,0.0864177690168442,0.2875399361022364,4.02555910543131,0.1091893399361022,2.587859424920128,1.7252396166134183,2.587859424920128,0.1210344872204472,12.07667731629393,DM/CM,21,23,39,20,30,29,36,42,8,36,89,88,44,6,23,39,80,77,35,6,45,9,39,48,52,52,97,98,23,33,100,36,18,91,9,45,23,89,94,95,21,24,36,24,24,23,70,27,61,42,36,73,12,39,100,100,82,9,21,58,91,100,58,6,55,9,39,48,52,52,97,98,23,33,100,36,18,91,12,64,33,100,100,100,27,33,58,27,Czech League
